0,Ajay,Sheldon,'6-1,G,Fr.,/images/2022/7/29/Sheldon_Ajay_53.jpg?width=100&height=110&mode=crop&anchor=topcenter
1,Elmore,James,'6-3,G,Fr.,/images/2022/7/29/James_Elmore_2_71.jpg?width=100&height=110&mode=crop&anchor=topcenter
2,Miles,Brown,'6-1,G,Sr.,/images/2022/7/29/Brown_Miles_2_71.jpg?width=100&height=110&mode=crop&anchor=topcenter
3,Ben,Roderick,'6-5,F,Sr.,/images/2022/7/29/Roderick_Ben_2_71.jpg?width=100&height=110&mode=crop&anchor=topcenter
4,Dwight,Wilson III,'6-8,F,Gr.,/images/2022/7/29/Wilson_Dwight_2_71.jpg?width=100&height=110&mode=crop&anchor=topcenter
5,Olumide,Adelodun,'6-6,G,So.,/images/2022/7/29/Adelodun_Olu_2_71.jpg?width=100&height=110&mode=crop&anchor=topcenter
10,Aidan,Hadaway,'6-8,F,Fr.,/images/2022/7/29/Hadaway_Aidan_2_71.jpg?width=100&height=110&mode=crop&anchor=topcenter
11,Gabe,Wiznitzer,'6-11,C,Jr.,/images/2022/7/29/Wiznitzer_Gabe_2_71.jpg?width=100&height=110&mode=crop&anchor=topcenter
12,Jaylin,Hunter,'6-0,G,Jr.,/images/2022/7/29/Hunter_Jaylin_2_71.jpg?width=100&height=110&mode=crop&anchor=topcenter
14,Ben,Estis,'6-1,G,Fr.,/images/2022/7/29/Estis_Ben_2_71.jpg?width=100&height=110&mode=crop&anchor=topcenter
15,Quinn,Corna,'6-3,G,Fr.,/images/2022/7/29/Corna_Quinn_71.jpg?width=100&height=110&mode=crop&anchor=topcenter
21,IJ,Ezuma,'6-8,F,So.,/images/2022/7/29/Ezuma_IJ_2_71.jpg?width=100&height=110&mode=crop&anchor=topcenter
22,DeVon,Baker,'6-2,G,Sr.,/images/2022/8/26/DSC03053.jpg?width=100&height=110&mode=crop&anchor=topcenter
23,AJ,Clayton,'6-8,F,So.,/images/2022/7/29/Clayton_AJ_2_53.jpg?width=100&height=110&mode=crop&anchor=topcenter
24,AJ,Brown,'6-4,G,Fr.,/images/2022/7/29/Brown_AJ_2_71.jpg?width=100&height=110&mode=crop&anchor=topcenter
,Jeff,Boals,,Head Coach,,/images/2021/5/14//boals_jeff.jpg?width=100&height=110&mode=crop&anchor=topcenter
,Lamar,Thornton,,Assistant Coach,,/images/2022/10/17/10_5_22_Pearson_MBBpromo_0011_jCA3f.JPG?width=100&height=110&mode=crop&anchor=topcenter
,Kyle,Barlow,,Assistant Coach,,/images/2021/5/14//barlow_kyle.jpg?width=100&height=110&mode=crop&anchor=topcenter
,Lee,Martin,,Assistant Coach,,/images/2021/5/21/martin.jpeg?width=100&height=110&mode=crop&anchor=topcenter
,Jake,Ness,,Director of Operations,,/images/2021/5/14//ness_jake.jpg?width=100&height=110&mode=crop&anchor=topcenter
,Mike,Cifliku,,Video Coordinator,,/images/2021/5/14//mike_cifliku.jpg?width=100&height=110&mode=crop&anchor=topcenter
,Casey,Crawford,,Graduate Assistant,,/images/2022/10/18/casey-ohio-mens-basketball-2022-07-29-t-23-30-32-876-z_IGVFu.jpg?width=100&height=110&mode=crop&anchor=topcenter
